"indice_tiempo","acero_moldeado","laminados_largos","laminados_planos","rieles","tubos_con_costura","tubos_sin_costura"
"1992-01-01","0.0","4.1","31.4","10.8","3.8","109.3"
"1992-04-01","0.0","25.1","57.5","20.5","1.6","125.8"
"1992-07-01","0.0","21.7","69.8","28.6","1.4","61.8"
"1992-10-01","0.0","10.1","65.2","14.8","4.3","173.9"
"1993-01-01","0.0","19.1","136.9","1.4","7.0","105.5"
"1993-04-01","0.0","16.4","66.8","7.7","5.0","131.5"
"1993-07-01","0.0","35.6","32.3","0.7","9.2","133.8"
"1993-10-01","0.0","28.4","33.6","0.7","4.3","107.3"
"1994-01-01","0.0","18.5","23.8","0.0","2.4","120.5"
"1994-04-01","0.0","36.2","45.4","0.3","3.6","101.2"
"1994-07-01","0.0","53.8","125.5","0.2","3.2","105.1"
"1994-10-01","0.0","52.8","100.5","0.0","6.2","98.0"
"1995-01-01","0.0","40.3","59.5","0.0","4.3","80.8"
"1995-04-01","0.0","72.7","159.2","0.7","7.4","104.3"
"1995-07-01","0.0","86.3","170.5","2.1","9.2","141.7"
"1995-10-01","0.0","59.5","170.1","1.2","6.2","156.4"
"1996-01-01","0.0","56.2","85.1","0.7","12.5","103.8"
"1996-04-01","0.0","57.3","150.7","0.7","4.5","150.1"
"1996-07-01","0.0","67.1","120.0","0.5","11.9","145.8"
"1996-10-01","0.0","45.8","101.6","0.6","19.7","170.3"
"1997-01-01","0.0","44.3","92.6","0.0","6.2","92.5"
"1997-04-01","0.0","64.9","84.8","0.1","7.8","147.2"
"1997-07-01","0.0","70.9","112.7","0.2","48.2","149.0"
"1997-10-01","0.0","67.1","99.9","1.7","76.2","163.0"
"1998-01-01","0.0","64.9","83.0","0.3","54.0","118.7"
"1998-04-01","0.0","51.5","71.1","0.4","57.7","175.2"
"1998-07-01","0.0","42.1","117.5","0.6","35.4","116.0"
"1998-10-01","0.0","32.5","141.6","0.7","19.4","90.1"
"1999-01-01","0.0","37.5","153.3","0.4","29.1","55.6"
"1999-04-01","0.0","59.4","222.0","0.3","12.0","88.5"
"1999-07-01","0.0","60.2","256.6","0.0","13.2","122.5"
"1999-10-01","0.0","38.1","273.5","0.0","6.9","98.6"
"2000-01-01","0.0","49.2","201.9","0.2","10.7","118.6"
"2000-04-01","0.0","69.9","204.7","0.0","22.9","138.0"
"2000-07-01","0.0","74.6","248.2","0.0","21.4","156.8"
"2000-10-01","0.0","55.1","283.5","0.0","27.6","157.9"
"2001-01-01","0.0","30.3","285.3","0.0","29.5","131.4"
"2001-04-01","0.0","48.2","315.7","0.0","29.1","146.9"
"2001-07-01","0.0","61.6","197.8","0.0","56.0","141.4"
