"indice_tiempo","valor"
"1993-01-01","214500"
"1993-02-01","169000"
"1993-03-01","238700"
"1993-04-01","250200"
"1993-05-01","261200"
"1993-06-01","256500"
"1993-07-01","251300"
"1993-08-01","267000"
"1993-09-01","260700"
"1993-10-01","266900"
"1993-11-01","247400"
"1993-12-01","202000"
"1994-01-01","229200"
"1994-02-01","185800"
"1994-03-01","277900"
"1994-04-01","291900"
"1994-05-01","276500"
"1994-06-01","268400"
"1994-07-01","283500"
"1994-08-01","312000"
"1994-09-01","294300"
"1994-10-01","327100"
"1994-11-01","286100"
"1994-12-01","272300"
"1995-01-01","262100"
"1995-02-01","230800"
"1995-03-01","306700"
"1995-04-01","293900"
"1995-05-01","305000"
"1995-06-01","300400"
"1995-07-01","322400"
"1995-08-01","317000"
"1995-09-01","302800"
"1995-10-01","333700"
"1995-11-01","330600"
"1995-12-01","263100"
"1996-01-01","271200"
"1996-02-01","305700"
"1996-03-01","361500"
"1996-04-01","336100"
"1996-05-01","345600"
"1996-06-01","350100"
"1996-07-01","352700"
"1996-08-01","353000"
"1996-09-01","339100"
"1996-10-01","373300"
"1996-11-01","364200"
"1996-12-01","322600"
"1997-01-01","272326"
"1997-02-01","280148"
"1997-03-01","355406"
"1997-04-01","366247"
"1997-05-01","353631"
"1997-06-01","357742"
"1997-07-01","380354"
"1997-08-01","358874"
"1997-09-01","359424"
"1997-10-01","384247"
"1997-11-01","364880"
"1997-12-01","336587"
"1998-01-01","328440"
"1998-02-01","331000"
"1998-03-01","332290"
"1998-04-01","370306"
"1998-05-01","388088"
"1998-06-01","373034"
"1998-07-01","357168"
"1998-08-01","387410"
"1998-09-01","351717"
"1998-10-01","362126"
"1998-11-01","343087"
"1998-12-01","290724"
"1999-01-01","253664"
"1999-02-01","239915"
"1999-03-01","279266"
"1999-04-01","298123"
"1999-05-01","316132"
"1999-06-01","310635"
"1999-07-01","346930"
"1999-08-01","350232"
"1999-09-01","347849"
"1999-10-01","361894"
"1999-11-01","361442"
"1999-12-01","338623"
"2000-01-01","302155"
"2000-02-01","324711"
"2000-03-01","388015"
"2000-04-01","379714"
"2000-05-01","352836"
"2000-06-01","338285"
"2000-07-01","371877"
"2000-08-01","397810"
"2000-09-01","408132"
"2000-10-01","413756"
"2000-11-01","407683"
"2000-12-01","394230"
"2001-01-01","327847"
"2001-02-01","317631"
"2001-03-01","386923"
"2001-04-01","387175"
"2001-05-01","396452"
"2001-06-01","375242"
"2001-07-01","360090"
"2001-08-01","275923"
"2001-09-01","349783"
"2001-10-01","336116"
"2001-11-01","312468"
"2001-12-01","282351"
"2002-01-01","255253"
"2002-02-01","305924"
"2002-03-01","341137"
"2002-04-01","391662"
"2002-05-01","389870"
"2002-06-01","357690"
"2002-07-01","378536"
"2002-08-01","393210"
"2002-09-01","388444"
"2002-10-01","411031"
"2002-11-01","372200"
"2002-12-01","375600"
"2003-01-01","362708"
"2003-02-01","383965"
"2003-03-01","447984"
"2003-04-01","428606"
"2003-05-01","442093"
"2003-06-01","420441"
"2003-07-01","423750"
"2003-08-01","438106"
"2003-09-01","410787"
"2003-10-01","448122"
"2003-11-01","417440"
"2003-12-01","409167"
"2004-01-01","384700"
"2004-02-01","410300"
"2004-03-01","419800"
"2004-04-01","409000"
"2004-05-01","426000"
"2004-06-01","410200"
"2004-07-01","434200"
"2004-08-01","428900"
"2004-09-01","417300"
"2004-10-01","476900"
"2004-11-01","465700"
"2004-12-01","450324"
"2005-01-01","410100"
"2005-02-01","420400"
"2005-03-01","465900"
"2005-04-01","462600"
"2005-05-01","482100"
"2005-06-01","441400"
"2005-07-01","454700"
"2005-08-01","460800"
"2005-09-01","408200"
"2005-10-01","448000"
"2005-11-01","466600"
"2005-12-01","464780"
"2006-01-01","412300"
"2006-02-01","445900"
"2006-03-01","505100"
"2006-04-01","479700"
"2006-05-01","492100"
"2006-06-01","490500"
"2006-07-01","481600"
"2006-08-01","464300"
"2006-09-01","481000"
"2006-10-01","484200"
"2006-11-01","409300"
"2006-12-01","386732"
"2007-01-01","335900"
"2007-02-01","415600"
"2007-03-01","476600"
"2007-04-01","472800"
"2007-05-01","444600"
"2007-06-01","446300"
"2007-07-01","356500"
"2007-08-01","485000"
"2007-09-01","475900"
"2007-10-01","497500"
"2007-11-01","490500"
"2007-12-01","489912"
"2008-01-01","417000"
"2008-02-01","441900"
"2008-03-01","509200"
"2008-04-01","501000"
"2008-05-01","499200"
"2008-06-01","493900"
"2008-07-01","528700"
